https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,n処理終了,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,申請者1,確認番号,許可年月日,申請区分,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,業種,施設-電話番号1,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号または商号,営業者氏名,許可番号,許可年月日,申請種別,,施設所在地,,,業種,営業所電話番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
,Ｔａｔ　Ｔｕｎ　Ａｕｎｇ株式会社,3板保生食ほ 第  890号,令和03年11月25日,新規,東京都,都内一円,都内一円,,飲食店営業（自動車）,,,198,,,,,,,東京都　都内一円,東京都都内一円,,,13,,,,,2021/11/25,,,Ｔａｔ　Ｔｕｎ　Ａｕｎｇ株式会社,,,,,,,,,,3板保生食ほ 第  890号,新規,飲食店営業,自動車,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,,06d78c6c-7860-4e62-802c-06a397f8c9f3,Ｔａｔ　Ｔｕｎ　Ａｕｎｇ株式会社,76c7cf06-2afa-4646-b31c-f8f60c96be9d,30254274-9bfd-4285-9e99-d57789625342,2021/11/25,,,Ｔａｔ　Ｔｕｎ　Ａｕｎｇ株式会社
板橋キッチン,株式会社こころたち,3板保生食ほ 第  861号,令和03年11月18日,新規,東京都,都内一円,都内一円,,飲食店営業（自動車）,,,198,板橋キッチン,,,,,,東京都　都内一円,東京都都内一円,,,13,,,,,2021/11/18,,,株式会社こころたち,,,,,,,,,,3板保生食ほ 第  861号,新規,飲食店営業,自動車,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,板橋キッチン,e8d5c3f7-ed16-44f9-9e18-563589c93fe4,株式会社こころたち,f9d9a5e8-ac3d-49e8-ab71-1e1e8da73487,f8d0e3d2-18d7-41a6-a323-3ba6386138d5,2021/11/18,板橋キッチン,板橋キッチン,株式会社こころたち
ＣＨＩＬＩ　ＤＯＮ　ＣＡＲＮＥ　ＴＯＫＹＯ,ドッコラ　ジェレミー　ジョン,3板保生食ほ 第  878号,令和03年11月19日,新規,東京都,都内一円,都内一円,,飲食店営業（自動車）,,,198,ＣＨＩＬＩ　ＤＯＮ　ＣＡＲＮＥ　ＴＯＫＹＯ,,,,,,東京都　都内一円,東京都都内一円,,,13,,,,,2021/11/19,,,,ドッコラ　ジェレミー　ジョン,,,,,,,,,3板保生食ほ 第  878号,新規,飲食店営業,自動車,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,ＣＨＩＬＩＤＯＮＣＡＲＮＥＴＯＫＹＯ,c371254c-06c5-493d-89d4-681351166ff1,,personal,58eec54b-b678-4d43-aee6-b0822a3031f1,2021/11/19,ＣＨＩＬＩ　ＤＯＮ　ＣＡＲＮＥ　ＴＯＫＹＯ,ＣＨＩＬＩＤＯＮＣＡＲＮＥＴＯＫＹＯ,
とり吉,斉藤　壽夫,3板保生食ほ 第  901号,令和03年12月08日,新規,東京都,板橋区赤塚二丁目16番10号,板橋区赤塚２丁目１６番１０号,,飲食店営業,,,198,とり吉,03,,,,,東京都　板橋区赤塚２丁目１６番１０号,東京都板橋区赤塚２丁目１６番１０号,,75029,13,13119,赤塚２,,,2021/12/08,,,,斉藤　壽夫,,,,,,,,,3板保生食ほ 第  901号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,とり吉7502913119,aa807ba7-d7e2-4088-a73c-a88a74777c81,,personal,f7cd2ed5-f4d4-4986-adc4-715f71e94c15,2021/12/08,とり吉,とり吉,
ＢＬＵＥ　ＭＡＧＩＣ,合同会社ＧＡＩＮ,3板保生食ほ 第  898号,令和03年12月06日,新規,東京都,板橋区板橋一丁目20番2号　島原第一ビル１階,板橋区板橋１丁目２０番２号, 島原第一ビル１階,飲食店営業,,,198,ＢＬＵＥ　ＭＡＧＩＣ,03,,,,,東京都　板橋区板橋１丁目２０番２号,東京都板橋区板橋１丁目２０番２号, 島原第一ビル１階,75044,13,13119,板橋１,,,2021/12/06,,,合同会社ＧＡＩＮ,,,,,,,,,,3板保生食ほ 第  898号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,ＢＬＵＥＭＡＧＩＣ7504413119,555d5a3f-3004-4fa8-af9d-6d4b996e4916,合同会社ＧＡＩＮ,f44e15d3-4744-4c5e-8b7f-95c772a01239,946c311b-22b8-4d6f-ace5-b4805e5792b5,2021/12/06,ＢＬＵＥ　ＭＡＧＩＣ,ＢＬＵＥＭＡＧＩＣ,合同会社ＧＡＩＮ
カラオケルーム１０,村上　裕信,3板保生食ほ 第  904号,令和03年12月09日,新規,東京都,板橋区板橋一丁目54番3号,板橋区板橋１丁目５４番３号,,飲食店営業,3916-8885,,198,カラオケルーム１０,03,03-3916-8885,,,,東京都　板橋区板橋１丁目５４番３号,東京都板橋区板橋１丁目５４番３号,,75044,13,13119,板橋１,,,2021/12/09,,,,村上　裕信,,,,,,,,,3板保生食ほ 第  904号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,カラオケルム１０03-3916-88857504413119,e9bf6de3-4016-4c36-8ac2-a134d1995746,,personal,05c8a1b0-fa38-48ba-8cb2-b9a7258244ba,2021/12/09,カラオケルーム１０,カラオケルム１０,
あさひ町内会,株式会社朝日,3板保生食ほ 第  882号,令和03年12月03日,新規,東京都,板橋区板橋三丁目5番1号　リビオタワー板橋１０５,板橋区板橋３丁目５番１号, リビオタワー板橋１０５,飲食店営業,6915-5569,,198,あさひ町内会,03,03-6915-5569,,,,東京都　板橋区板橋３丁目５番１号,東京都板橋区板橋３丁目５番１号, リビオタワー板橋１０５,75046,13,13119,板橋３,,,2021/12/03,,,株式会社朝日,,,,,,,,,,3板保生食ほ 第  882号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,あさひ町内会03-6915-55697504613119,601498dc-9334-4c0c-9079-d7a6a97769c7,株式会社朝日,c1e3c0a4-831f-4d31-ab71-43fd92d83467,71ba892f-443e-40b5-9e79-4be14d5e4e3b,2021/12/03,あさひ町内会,あさひ町内会,株式会社朝日
ファミリーマート新板橋駅前店,天野　竜一,3板保生食ほ 第  853号,令和03年12月15日,新規,東京都,板橋区板橋四丁目4番3号,板橋区板橋４丁目４番３号,,飲食店営業,5943-6070,,198,ファミリーマート新板橋駅前店,03,03-5943-6070,,,,東京都　板橋区板橋４丁目４番３号,東京都板橋区板橋４丁目４番３号,,75047,13,13119,板橋４,,,2021/12/15,,,,天野　竜一,,,,,,,,,3板保生食ほ 第  853号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,ファミリマト新板橋駅前店03-5943-60707504713119,058beee0-6ccd-497d-a97d-2cc914b557d2,,personal,2f26fb1b-aa8d-4b91-9869-343ac2277c32,2021/12/15,ファミリーマート新板橋駅前店,ファミリマト新板橋駅前店,
パン工房なないろ,株式会社クリエイションスター,3板保生食ほ 第  920号,令和03年12月10日,新規,東京都,板橋区大谷口上町64番7号,板橋区大谷口上町６４番７号,,菓子製造業,,,198,パン工房なないろ,03,,,,,東京都　板橋区大谷口上町６４番７号,東京都板橋区大谷口上町６４番７号,,75052,13,13119,大谷口上町,,,2021/12/10,,,株式会社クリエイションスター,,,,,,,,,,3板保生食ほ 第  920号,新規,菓子製造業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),E,9,,,パン工房なないろ7505213119,92f5c278-f166-4cf2-b944-35b8abebaebb,株式会社クリエイションスター,8b2a4f42-2aea-4501-a364-4212c81d0513,cc912078-68c9-4ac7-9877-9870c47c05f0,2021/12/10,パン工房なないろ,パン工房なないろ,株式会社クリエイションスター
御食事処しんちゃん,田中　新一,3板保生食ほ 第  849号,令和03年12月10日,新規,東京都,板橋区大谷口北町35番4号,板橋区大谷口北町３５番４号,,飲食店営業,5966-4379,,198,御食事処しんちゃん,03,03-5966-4379,,,,東京都　板橋区大谷口北町３５番４号,東京都板橋区大谷口北町３５番４号,,75053,13,13119,大谷口北町,,,2021/12/10,,,,田中　新一,,,,,,,,,3板保生食ほ 第  849号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,御食事処しんちゃん03-5966-43797505313119,1ffded50-b3c0-4133-96b1-ed7997a0c1b6,,personal,6d44b94e-3955-4f2b-ac82-12ec64f99f2a,2021/12/10,御食事処しんちゃん,御食事処しんちゃん,
支那ソバ　おさだ,長田　翔,3板保生食ほ 第  913号,令和03年12月07日,新規,東京都,板橋区大山金井町38番1号,板橋区大山金井町３８番１号,,飲食店営業,,,198,支那ソバ　おさだ,03,,,,,東京都　板橋区大山金井町３８番１号,東京都板橋区大山金井町３８番１号,,75054,13,13119,大山金井町,,,2021/12/07,,,,長田　翔,,,,,,,,,3板保生食ほ 第  913号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,支那ソバおさだ7505413119,a95e1705-63e8-4d24-9063-bb8566222a5b,,personal,24ada1ca-a75a-4bbb-bac3-22249aaed5e5,2021/12/07,支那ソバ　おさだ,支那ソバおさだ,
ｖｉｖｏ　ｄａｉｌｙ　ｓｔａｎｄ　大山店,ＶＩＶＯ　ＰＲＯＤＵＣＴＩＯＮ　ＴＯＫＹＯ株式会社,3板保生食ほ 第  876号,令和03年12月06日,新規,東京都,板橋区大山町9番2号　いながき店舗１階,板橋区大山町９番２号, いながき店舗１階,飲食店営業,6905-9959,,198,ｖｉｖｏ　ｄａｉｌｙ　ｓｔａｎｄ　大山店,03,03-6905-9959,,,,東京都　板橋区大山町９番２号,東京都板橋区大山町９番２号, いながき店舗１階,75055,13,13119,大山町,,,2021/12/06,,,ＶＩＶＯ　ＰＲＯＤＵＣＴＩＯＮ　ＴＯＫＹＯ株式会社,,,,,,,,,,3板保生食ほ 第  876号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,ｖｉｖｏｄａｉｌｙｓｔａｎｄ大山店03-6905-99597505513119,4e20a63b-be32-41a5-9daa-ff73b82d9dfb,ＶＩＶＯ　ＰＲＯＤＵＣＴＩＯＮ　ＴＯＫＹＯ株式会社,5d30a368-f593-48c9-a537-9a764170aa73,54641eb9-fd43-4161-bc6b-3216c539d2e8,2021/12/06,ｖｉｖｏ　ｄａｉｌｙ　ｓｔａｎｄ　大山店,ｖｉｖｏｄａｉｌｙｓｔａｎｄ大山店,ＶＩＶＯ　ＰＲＯＤＵＣＴＩＯＮ　ＴＯＫＹＯ株式会社
ＳＨＥＥＳＨＡ　ＭＡＮＩＡ　ＣＡＦＥ　ＡＮＤ　ＤＩＮＮＩＮＧ　ＢＡＲ,ＳＵＲＡＫＳＨＹＡ合同会社,3板保生食ほ 第  921号,令和03年12月13日,新規,東京都,板橋区大山町40番5号　岡本ビル２Ｆ,板橋区大山町４０番５号, 岡本ビル２Ｆ,飲食店営業,,,198,ＳＨＥＥＳＨＡ　ＭＡＮＩＡ　ＣＡＦＥ　ＡＮＤ　ＤＩＮＮＩＮＧ　ＢＡＲ,03,,,,,東京都　板橋区大山町４０番５号,東京都板橋区大山町４０番５号, 岡本ビル２Ｆ,75055,13,13119,大山町,,,2021/12/13,,,ＳＵＲＡＫＳＨＹＡ合同会社,,,,,,,,,,3板保生食ほ 第  921号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,ＳＨＥＥＳＨＡＭＡＮＩＡＣＡＦＥＡＮＤＤＩＮＮＩＮＧＢＡＲ7505513119,e214364b-f389-4fee-93ce-1baf144607a0,ＳＵＲＡＫＳＨＹＡ合同会社,c71eb7bb-d2f7-4702-b974-8360d8634a6e,ec381c4f-425b-4a2a-8e2d-025e1ca873df,2021/12/13,ＳＨＥＥＳＨＡ　ＭＡＮＩＡ　ＣＡＦＥ　ＡＮＤ　ＤＩＮＮＩＮＧ　ＢＡＲ,ＳＨＥＥＳＨＡＭＡＮＩＡＣＡＦＥＡＮＤＤＩＮＮＩＮＧＢＡＲ,ＳＵＲＡＫＳＨＹＡ合同会社
カフェコロラド,塩田　浩子,3板保生食ほ 第  928号,令和03年12月15日,新規,東京都,板橋区大山町47番5号　－２Ｆ,板橋区大山町４７番５号 ,２Ｆ,飲食店営業,3957-5701,,198,カフェコロラド,03,03-3957-5701,,,,東京都　板橋区大山町４７番５号 ,東京都板橋区大山町４７番５号,２Ｆ,75055,13,13119,大山町,,,2021/12/15,,,,塩田　浩子,,,,,,,,,3板保生食ほ 第  928号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,カフェコロラド03-3957-57017505513119,f5aaf670-e0e4-4143-9f98-540f9f4bc661,,personal,d2ae6958-c598-41f0-87b7-0553603c4360,2021/12/15,カフェコロラド,カフェコロラド,
伊勢屋,菊入　哲夫,3板保生食ほ 第  778号,令和03年12月06日,新規,東京都,板橋区大山町47番6号,板橋区大山町４７番６号,,飲食店営業,,,198,伊勢屋,03,,,,,東京都　板橋区大山町４７番６号,東京都板橋区大山町４７番６号,,75055,13,13119,大山町,,,2021/12/06,,,,菊入　哲夫,,,,,,,,,3板保生食ほ 第  778号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,伊勢屋7505513119,87f880fc-9fba-475e-bcef-0a620b06f548,,personal,e42113da-41cc-4b1f-9a9e-fd7c268aaff9,2021/12/06,伊勢屋,伊勢屋,
伊勢屋,菊入　哲夫,3板保生食ほ 第  779号,令和03年12月06日,新規,東京都,板橋区大山町47番6号,板橋区大山町４７番６号,,菓子製造業,,,198,伊勢屋,03,,,,,東京都　板橋区大山町４７番６号,東京都板橋区大山町４７番６号,,75055,13,13119,大山町,,,2021/12/06,,,,菊入　哲夫,,,,,,,,,3板保生食ほ 第  779号,新規,菓子製造業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),E,9,,,伊勢屋7505513119,87f880fc-9fba-475e-bcef-0a620b06f548,,personal,a5db5153-f976-4aaa-b5c9-6371de5aa692,2021/12/06,伊勢屋,伊勢屋,
アンの家,佐藤　彰,3板保生食ほ 第  848号,令和03年12月01日,新規,東京都,板橋区大山東町30番5号　瀬戸ビル１Ｆ,板橋区大山東町３０番５号, 瀬戸ビル１Ｆ,飲食店営業,,,198,アンの家,03,,,,,東京都　板橋区大山東町３０番５号,東京都板橋区大山東町３０番５号, 瀬戸ビル１Ｆ,75057,13,13119,大山東町,,,2021/12/01,,,,佐藤　彰,,,,,,,,,3板保生食ほ 第  848号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,アンの家7505713119,203c1c11-cab6-4e52-ae24-7d578ceeb487,,personal,1b345a14-1f2c-4504-9a7f-7bdf417c40f6,2021/12/01,アンの家,アンの家,
ジンジャーヘッドバッド／芋王,株式会社ＴＥＲＭＩＮＡＬ,3板保生食ほ 第  938号,令和03年12月15日,新規,東京都,板橋区大山東町59番8号　第１徳山マンション１Ｆ,板橋区大山東町５９番８号, 第１徳山マンション１Ｆ,飲食店営業,,,198,ジンジャーヘッドバッド／芋王,03,,,,,東京都　板橋区大山東町５９番８号,東京都板橋区大山東町５９番８号, 第１徳山マンション１Ｆ,75057,13,13119,大山東町,,,2021/12/15,,,株式会社ＴＥＲＭＩＮＡＬ,,,,,,,,,,3板保生食ほ 第  938号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,ジンジャヘッドバッド芋王7505713119,07e2bcdc-9b23-432d-847f-507da58ee693,株式会社ＴＥＲＭＩＮＡＬ,a056bf28-650c-4905-b98e-e9239669e981,3af379a0-9b33-4b86-b2c7-1b3630a1e250,2021/12/15,ジンジャーヘッドバッド／芋王,ジンジャヘッドバッド芋王,株式会社ＴＥＲＭＩＮＡＬ
Ｙ’ｓ★ｃａｆｅ,大久保　裕子,3板保生食ほ 第  859号,令和03年12月07日,新規,東京都,板橋区上板橋三丁目10番1号,板橋区上板橋３丁目１０番１号,,飲食店営業,3550-2277,,198,Ｙ’ｓ★ｃａｆｅ,03,03-3550-2277,,,,東京都　板橋区上板橋３丁目１０番１号,東京都板橋区上板橋３丁目１０番１号,,75062,13,13119,上板橋３,,,2021/12/07,,,,大久保　裕子,,,,,,,,,3板保生食ほ 第  859号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,Ｙｓｃａｆｅ03-3550-22777506213119,ce9b9d11-13fb-463a-af74-96ca4920d331,,personal,6367ccac-592e-4545-b891-6880b3511c80,2021/12/07,Ｙ＇ｓ★ｃａｆｅ,Ｙｓｃａｆｅ,
家庭料理円満,加藤　さよ子,3板保生食ほ 第  762号,令和03年12月13日,新規,東京都,板橋区小茂根一丁目21番4号,板橋区小茂根１丁目２１番４号,,飲食店営業,3530-3439,,198,家庭料理円満,03,03-3530-3439,,,,東京都　板橋区小茂根１丁目２１番４号,東京都板橋区小茂根１丁目２１番４号,,75064,13,13119,小茂根１,,,2021/12/13,,,,加藤　さよ子,,,,,,,,,3板保生食ほ 第  762号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,家庭料理円満03-3530-34397506413119,bb85a7ce-0061-450b-a6db-0392966f7c65,,personal,910592c3-cbf5-48b0-8220-332bd005092d,2021/12/13,家庭料理円満,家庭料理円満,
有限会社三光堂,有限会社三光堂,3板保生食ほ 第  873号,令和03年12月06日,新規,東京都,板橋区坂下一丁目16番14号,板橋区坂下１丁目１６番１４号,,菓子製造業,3966-6093,,198,有限会社三光堂,03,03-3966-6093,,,,東京都　板橋区坂下１丁目１６番１４号,東京都板橋区坂下１丁目１６番１４号,,75071,13,13119,坂下１,,,2021/12/06,,,有限会社三光堂,,,,,,,,,,3板保生食ほ 第  873号,新規,菓子製造業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),E,9,,,有限会社三光堂03-3966-60937507113119,a2ae0fda-3e99-4c26-940a-cbf30f49221b,有限会社三光堂,dc370223-e587-40d1-9eef-974ecd0372c5,30a4609b-fc30-46b4-b43d-53f7236f56ec,2021/12/06,有限会社三光堂,有限会社三光堂,有限会社三光堂
食堂太洋軒,竹内　一三,3板保生食ほ 第  866号,令和03年12月14日,新規,東京都,板橋区坂下二丁目14番13号,板橋区坂下２丁目１４番１３号,,飲食店営業,,,198,食堂太洋軒,03,,,,,東京都　板橋区坂下２丁目１４番１３号,東京都板橋区坂下２丁目１４番１３号,,75072,13,13119,坂下２,,,2021/12/14,,,,竹内　一三,,,,,,,,,3板保生食ほ 第  866号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,食堂太洋軒7507213119,5b65ad07-845d-476e-b308-a7f31edc88ca,,personal,672c5659-a32b-452a-a529-a759c4a03324,2021/12/14,食堂太洋軒,食堂太洋軒,
スナックルンバ,遠藤　長洋,3板保生食ほ 第  914号,令和03年12月13日,新規,東京都,板橋区坂下三丁目28番18号,板橋区坂下３丁目２８番１８号,,飲食店営業,3969-6317,,198,スナックルンバ,03,03-3969-6317,,,,東京都　板橋区坂下３丁目２８番１８号,東京都板橋区坂下３丁目２８番１８号,,75073,13,13119,坂下３,,,2021/12/13,,,,遠藤　長洋,,,,,,,,,3板保生食ほ 第  914号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,スナックルンバ03-3969-63177507313119,aa5134f2-5b1a-4c79-8b58-a426c72db0bd,,personal,2941a610-45fc-4a29-bed6-9a8da42b3209,2021/12/13,スナックルンバ,スナックルンバ,
長岡屋,小林　明夫,3板保生食ほ 第  868号,令和03年12月09日,新規,東京都,板橋区坂下三丁目34番4号,板橋区坂下３丁目３４番４号,,飲食店営業,,,198,長岡屋,03,,,,,東京都　板橋区坂下３丁目３４番４号,東京都板橋区坂下３丁目３４番４号,,75073,13,13119,坂下３,,,2021/12/09,,,,小林　明夫,,,,,,,,,3板保生食ほ 第  868号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,長岡屋7507313119,0cbb0d61-55ea-453a-a540-3694fe850a0f,,personal,5750a209-6c4d-434c-a581-458ef8a717ed,2021/12/09,長岡屋,長岡屋,
ギャラリーカフェ日向箱,千速　栄一,3板保生食ほ 第  892号,令和03年12月01日,新規,東京都,板橋区桜川三丁目13番12号　大塚ビルＢ,板橋区桜川３丁目１３番１２号, 大塚ビルＢ,飲食店営業,,,198,ギャラリーカフェ日向箱,03,,,,,東京都　板橋区桜川３丁目１３番１２号,東京都板橋区桜川３丁目１３番１２号, 大塚ビルＢ,75076,13,13119,桜川３,,,2021/12/01,,,,千速　栄一,,,,,,,,,3板保生食ほ 第  892号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,ギャラリカフェ日向箱7507613119,f043df40-8edb-4411-8c09-ef61aa994b8f,,personal,d5793c0e-e68e-4f0f-91fd-1fcf14f6eb32,2021/12/01,ギャラリーカフェ日向箱,ギャラリカフェ日向箱,
お好み鉄板焼さち,上島　奎彦,3板保生食ほ 第  918号,令和03年12月14日,新規,東京都,板橋区志村一丁目32番32号,板橋区志村１丁目３２番３２号,,飲食店営業,5918-7689,,198,お好み鉄板焼さち,03,03-5918-7689,,,,東京都　板橋区志村１丁目３２番３２号,東京都板橋区志村１丁目３２番３２号,,75078,13,13119,志村１,,,2021/12/14,,,,上島　奎彦,,,,,,,,,3板保生食ほ 第  918号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,お好み鉄板焼さち03-5918-76897507813119,20dee33d-71e4-43b2-b632-4a7abea12a2a,,personal,ee5e7297-d9ca-44ac-b030-aa15f63deb5f,2021/12/14,お好み鉄板焼さち,お好み鉄板焼さち,
♯焼いて売ると書きますがむしろ蒸してます,株式会社Ｋ’ｓ　Ｆａｃｔｏｒｙ,3板保生食ほ 第  855号,令和03年12月03日,新規,東京都,板橋区志村一丁目34番23号　酒巻ビル１Ｆ,板橋区志村１丁目３４番２３号, 酒巻ビル１Ｆ,飲食店営業,5916-6244,,198,♯焼いて売ると書きますがむしろ蒸してます,03,03-5916-6244,,,,東京都　板橋区志村１丁目３４番２３号,東京都板橋区志村１丁目３４番２３号, 酒巻ビル１Ｆ,75078,13,13119,志村１,,,2021/12/03,,,株式会社Ｋ’ｓ　Ｆａｃｔｏｒｙ,,,,,,,,,,3板保生食ほ 第  855号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,♯焼いて売ると書きますがむしろ蒸してます03-5916-62447507813119,fc5727ed-e8bb-40df-b817-92091028aad8,株式会社Ｋ＇ｓ　Ｆａｃｔｏｒｙ,5a22b9e7-d0b2-4541-8c01-e26de9b50d22,f79e4ccb-5ffd-44bb-921c-7fd21584cd0d,2021/12/03,♯焼いて売ると書きますがむしろ蒸してます,♯焼いて売ると書きますがむしろ蒸してます,株式会社Ｋ＇ｓ　Ｆａｃｔｏｒｙ
パティスリーコルテ,株式会社ディエムシー,3板保生食ほ 第  858号,令和03年12月01日,新規,東京都,板橋区高島平一丁目57番1号,板橋区高島平１丁目５７番１号,,菓子製造業,,,198,パティスリーコルテ,03,,,,,東京都　板橋区高島平１丁目５７番１号,東京都板橋区高島平１丁目５７番１号,,75084,13,13119,高島平１,,,2021/12/01,,,株式会社ディエムシー,,,,,,,,,,3板保生食ほ 第  858号,新規,菓子製造業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),E,9,,,パティスリコルテ7508413119,f13ae693-cf53-4e58-87d3-28122cf5c766,株式会社ディエムシー,0872636e-f3eb-41ee-be57-a8efab88f8dd,863dec39-60b1-4376-8c5c-6c58e2c79ff4,2021/12/01,パティスリーコルテ,パティスリコルテ,株式会社ディエムシー
ファミリーマート板橋高島平団地前店,合同会社光栄,3板保生食ほ 第  863号,令和03年12月08日,新規,東京都,板橋区高島平一丁目72番20号,板橋区高島平１丁目７２番２０号,,飲食店営業,5922-3781,,198,ファミリーマート板橋高島平団地前店,03,03-5922-3781,,,,東京都　板橋区高島平１丁目７２番２０号,東京都板橋区高島平１丁目７２番２０号,,75084,13,13119,高島平１,,,2021/12/08,,,合同会社光栄,,,,,,,,,,3板保生食ほ 第  863号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,ファミリマト板橋高島平団地前店03-5922-37817508413119,e32ba266-6e23-486e-88bb-415686664f8d,合同会社光栄,3591b81d-9264-4578-bb66-19dfa76d9469,d936983e-be8e-4d18-84fa-4c0638afff74,2021/12/08,ファミリーマート板橋高島平団地前店,ファミリマト板橋高島平団地前店,合同会社光栄
