https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,n処理終了,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,申請者1,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,申請年月日,確認番号,確認番号2,業種,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名称,,施設所在地,,,施設電話番号,申請者名,申請者住所,,,申請者電話番号,届出日,許可番号,,業種,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
スーパーマルハチ　園田店  ,兵庫県,尼崎市東園田町４－３０－２,尼崎市東園田町４－３０－２,,06-6494-0888  ,株式会社マルハチ,神戸市中央区大日通１－２－１８,神戸市中央区大日通１－２－１８,,078-232-0839  ,R03.12.01,尼崎市指令(尼保生）,第1-02185号,飲食店営業,,305,スーパーマルハチ　園田店  ,06,06-6494-0888,,,,兵庫県　尼崎市東園田町４－３０－２,兵庫県尼崎市東園田町４－３０－２,,166980,28,28202,東園田町４,2021/12/01,,,,,株式会社マルハチ,,078-232-0839  ,神戸市中央区大日通１－２－１８,兵庫県神戸市中央区大日通１－２－１８,,165371,兵庫県,神戸市中央区,大日通１,尼崎市指令(尼保生）第1-02185号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,スパマルハチ園田店06-6494-088816698028202,25b0b697-4461-45a2-b4e8-9d3297bf0b5c,株式会社マルハチ165371,3e70d0e4-23df-4603-a0fb-4c2e354a50fb,b68d6c65-f906-40b2-bd15-b3723c934b13,2021/12/01,スーパーマルハチ　園田店　,スパマルハチ園田店,株式会社マルハチ
日本マクドナルド㈱　立花ジョイタウン店  ,兵庫県,尼崎市七松町１－１－１,尼崎市七松町１－１－１,,06-4869-3516  ,日本マクドナルド株式会社,新宿区西新宿６－５－１,新宿区西新宿６－５－１,,03-6911-6550  ,R03.12.01,尼崎市指令(尼保生）,第1-02202号,菓子製造業,,305,日本マクドナルド㈱　立花ジョイタウン店  ,06,06-4869-3516,,,,兵庫県　尼崎市七松町１－１－１,兵庫県尼崎市七松町１－１－１,,166931,28,28202,七松町１,2021/12/01,,,,,日本マクドナルド株式会社,,03-6911-6550  ,新宿区西新宿６－５－１,東京都新宿区西新宿６－５－１,,73262,東京都,新宿区,西新宿６,尼崎市指令(尼保生）第1-02202号,,菓子製造業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,E,9,,,日本マクドナルド株式会社立花ジョイタウン店06-4869-351616693128202,8b5fa908-0414-4649-9fba-719d307e8bd3,日本マクドナルド株式会社73262,b70f99e1-f1d3-4bee-8bd0-40f3d9c6c19e,9fb42c99-f857-491a-abeb-1bbf35220c4a,2021/12/01,日本マクドナルド株式会社立花ジョイタウン店　,日本マクドナルド株式会社立花ジョイタウン店,日本マクドナルド株式会社
日本マクドナルド㈱　立花ジョイタウン店  ,兵庫県,尼崎市七松町１－１－１,尼崎市七松町１－１－１,,06-4869-3516  ,日本マクドナルド株式会社,新宿区西新宿６－５－１,新宿区西新宿６－５－１,,03-6911-6550  ,R03.12.01,尼崎市指令(尼保生）,第1-02201号,飲食店営業,,305,日本マクドナルド㈱　立花ジョイタウン店  ,06,06-4869-3516,,,,兵庫県　尼崎市七松町１－１－１,兵庫県尼崎市七松町１－１－１,,166931,28,28202,七松町１,2021/12/01,,,,,日本マクドナルド株式会社,,03-6911-6550  ,新宿区西新宿６－５－１,東京都新宿区西新宿６－５－１,,73262,東京都,新宿区,西新宿６,尼崎市指令(尼保生）第1-02201号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,日本マクドナルド株式会社立花ジョイタウン店06-4869-351616693128202,8b5fa908-0414-4649-9fba-719d307e8bd3,日本マクドナルド株式会社73262,b70f99e1-f1d3-4bee-8bd0-40f3d9c6c19e,e18aa877-61a3-47aa-917e-4a7d65a85413,2021/12/01,日本マクドナルド株式会社立花ジョイタウン店　,日本マクドナルド株式会社立花ジョイタウン店,日本マクドナルド株式会社
和彩旬彩　うおまん尼崎店  ,兵庫県,尼崎市潮江１－３－１あまがさきキューズモール本館４０２,尼崎市潮江１－３－１,あまがさきキューズモール本館４０２,06-4960-1000  ,中央フードサービス株式会社,大阪市福島区野田２－１４－１０,大阪市福島区野田２－１４－１０,,06-6462-1782  ,R03.12.01,尼崎市指令(尼保生）,第1-02195号,飲食店営業,,305,和彩旬彩　うおまん尼崎店  ,06,06-4960-1000,,,,兵庫県　尼崎市潮江１－３－１,兵庫県尼崎市潮江１－３－１,あまがさきキューズモール本館４０２,166802,28,28202,潮江１,2021/12/01,,,,,中央フードサービス株式会社,,06-6462-1782  ,大阪市福島区野田２－１４－１０,大阪府大阪市福島区野田２－１４－１０,,154287,大阪府,大阪市福島区,野田２,尼崎市指令(尼保生）第1-02195号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,和彩旬彩うおまん尼崎店06-4960-100016680228202,cd99e3cb-e91d-41f2-a633-4e56c9681e46,中央フードサービス株式会社154287,42e3a0ae-8c5d-46ed-ae7f-b1076f15647a,cb2482d2-9dee-4966-9c90-2ada368f82cf,2021/12/01,和彩旬彩　うおまん尼崎店　,和彩旬彩うおまん尼崎店,中央フードサービス株式会社
フレスコ立花店  ,兵庫県,尼崎市立花町３－１３－１,尼崎市立花町３－１３－１,,06-4961-7811  ,株式会社ハートフレンド,京都市下京区若宮通五条下ル毘沙門町３３－１,京都市下京区若宮通五条下ル毘沙門町３３－１,,075-468-9171  ,R03.12.01,尼崎市指令(尼保生）,第1-02191号,飲食店営業,,305,フレスコ立花店  ,06,06-4961-7811,,,,兵庫県　尼崎市立花町３－１３－１,兵庫県尼崎市立花町３－１３－１,,166849,28,28202,立花町３,2021/12/01,,,,,株式会社ハートフレンド,,075-468-9171  ,京都市下京区若宮通五条下ル毘沙門町３３－１,京都府京都市下京区若宮通五条下ル毘沙門町３３－１,,144973,京都府,京都市下京区,若宮通五条,尼崎市指令(尼保生）第1-02191号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,フレスコ立花店06-4961-781116684928202,70597a39-aa59-4493-80bc-1a32150d8e22,株式会社ハートフレンド144973,6ea239fa-2653-4941-b668-0d8e6a7a6a15,85e25b82-e1f0-4b91-b4a4-9370ebb952f6,2021/12/01,フレスコ立花店　,フレスコ立花店,株式会社ハートフレンド
フレスコ立花店  ,兵庫県,尼崎市立花町３－１３－１,尼崎市立花町３－１３－１,,06-4961-7811  ,株式会社ハートフレンド,京都市下京区若宮通五条下ル毘沙門町３３－１,京都市下京区若宮通五条下ル毘沙門町３３－１,,075-468-9171  ,R03.12.01,尼崎市指令(尼保生）,第1-02192号,菓子製造業,,305,フレスコ立花店  ,06,06-4961-7811,,,,兵庫県　尼崎市立花町３－１３－１,兵庫県尼崎市立花町３－１３－１,,166849,28,28202,立花町３,2021/12/01,,,,,株式会社ハートフレンド,,075-468-9171  ,京都市下京区若宮通五条下ル毘沙門町３３－１,京都府京都市下京区若宮通五条下ル毘沙門町３３－１,,144973,京都府,京都市下京区,若宮通五条,尼崎市指令(尼保生）第1-02192号,,菓子製造業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,E,9,,,フレスコ立花店06-4961-781116684928202,70597a39-aa59-4493-80bc-1a32150d8e22,株式会社ハートフレンド144973,6ea239fa-2653-4941-b668-0d8e6a7a6a15,3f1b7d7e-409e-4d0e-8a16-08cb8a1caa7c,2021/12/01,フレスコ立花店　,フレスコ立花店,株式会社ハートフレンド
マメタク　武庫之荘店  ,兵庫県,尼崎市武庫之荘１－２－７,尼崎市武庫之荘１－２－７,,06-6415-8780  ,光紀株式会社,尼崎市塚口本町１－９－１－１０１,尼崎市塚口本町１－９－１,１０１,06-6421-1809  ,R03.12.01,尼崎市指令(尼保生）,第1-02209号,飲食店営業,,305,マメタク　武庫之荘店  ,06,06-6415-8780,,,,兵庫県　尼崎市武庫之荘１－２－７,兵庫県尼崎市武庫ノ荘１－２－７,,167058,28,28202,武庫ノ荘１,2021/12/01,,,,,光紀株式会社,,06-6421-1809  ,尼崎市塚口本町１－９－１,兵庫県尼崎市塚口本町１－９－１,１０１,167093,兵庫県,尼崎市,塚口本町１,尼崎市指令(尼保生）第1-02209号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,マメタク武庫之荘店06-6415-878016705828202,411af459-8c14-4d1b-af1d-6b49e95585eb,光紀株式会社167093,52a57409-5d5d-47e5-9f90-922d54b9219f,57d0ba63-3d29-4279-a191-9a129a51fe92,2021/12/01,マメタク　武庫之荘店　,マメタク武庫之荘店,光紀株式会社
すみび和くら　あまがさきキューズモール店  ,兵庫県,尼崎市潮江１－３－１あまがさきキューズモール４階４０６,尼崎市潮江１－３－１,あまがさきキューズモール４階４０６,06-6423-9702  ,株式会社治元,宇治市大久保町南ノ口６４－２,宇治市大久保町南ノ口６４－２,,075-950-1072  ,R03.12.01,尼崎市指令(尼保生）,第1-02212号,飲食店営業,,305,すみび和くら　あまがさきキューズモール店  ,06,06-6423-9702,,,,兵庫県　尼崎市潮江１－３－１,兵庫県尼崎市潮江１－３－１,あまがさきキューズモール４階４０６,166802,28,28202,潮江１,2021/12/01,,,,,株式会社治元,,075-950-1072  ,宇治市大久保町南ノ口６４－２,京都府宇治市大久保町南ノ口６４－２,,149024,京都府,宇治市,大久保町,尼崎市指令(尼保生）第1-02212号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,すみび和くらあまがさきキュズモル店06-6423-970216680228202,0acb3dcd-7641-403a-abe2-46d3271c3c15,株式会社治元149024,101d17b7-b1ac-41ed-9a26-7b8882c0ce66,9e6857eb-d468-4098-8599-c6918fe1afb1,2021/12/01,すみび和くら　あまがさきキューズモール店　,すみび和くらあまがさきキュズモル店,株式会社治元
なか卯　南塚口店  ,兵庫県,尼崎市南塚口町８－１０－３,尼崎市南塚口町８－１０－３,,06-6424-6261  ,株式会社なか卯,港区港南２－１８－１,港区港南２－１８－１,,03-6833-8820  ,R03.12.01,尼崎市指令(尼保生）,第1-02219号,飲食店営業,,305,なか卯　南塚口店  ,06,06-6424-6261,,,,兵庫県　尼崎市南塚口町８－１０－３,兵庫県尼崎市南塚口町８－１０－３,,167031,28,28202,南塚口町８,2021/12/01,,,,,株式会社なか卯,,03-6833-8820  ,港区港南２－１８－１,東京都港区港南２－１８－１,,73073,東京都,港区,港南２,尼崎市指令(尼保生）第1-02219号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,なか卯南塚口店06-6424-626116703128202,b8299ae6-b3f0-464c-9929-d11de52edda0,株式会社なか卯73073,601245a4-889a-4ff3-809e-cdc192426dba,a455cad3-ccaa-4587-ab18-f39471546f91,2021/12/01,なか卯　南塚口店　,なか卯南塚口店,株式会社なか卯
ニューヤマザキディリーストア　尼崎水堂店  ,兵庫県,尼崎市水堂町１－３－１３,尼崎市水堂町１－３－１３,,06-6438-6462  ,丸山酒販株式会社,尼崎市水堂町１－３－１３,尼崎市水堂町１－３－１３,,06-6438-6084  ,R03.12.01,尼崎市指令(尼保生）,第1-02223号,菓子製造業,,305,ニューヤマザキディリーストア　尼崎水堂店  ,06,06-6438-6462,,,,兵庫県　尼崎市水堂町１－３－１３,兵庫県尼崎市水堂町１－３－１３,,167010,28,28202,水堂町１,2021/12/01,,,,,丸山酒販株式会社,,06-6438-6084  ,尼崎市水堂町１－３－１３,兵庫県尼崎市水堂町１－３－１３,,167010,兵庫県,尼崎市,水堂町１,尼崎市指令(尼保生）第1-02223号,,菓子製造業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,E,9,,,ニュヤマザキディリストア尼崎水堂店06-6438-646216701028202,cb550f67-a3ea-4948-859c-51af675f66fd,丸山酒販株式会社167010,530f06a1-a5ec-4ae1-8ef4-97cb7e97ce32,e2e27f8a-e538-4092-8b5b-fec1d751b703,2021/12/01,ニューヤマザキディリーストア　尼崎水堂店　,ニュヤマザキディリストア尼崎水堂店,丸山酒販株式会社
双葉商店  ,兵庫県,尼崎市長洲本通１－１５－３５,尼崎市長洲本通１－１５－３５,,06-4868-8648  ,株式会社双葉商店,羽曳野市伊賀５－１２－１,羽曳野市伊賀５－１２－１,,0729-39-1129  ,R03.12.01,尼崎市指令(尼保生）,第1-02233号,食肉販売業,,305,双葉商店  ,06,06-4868-8648,,,,兵庫県　尼崎市長洲本通１－１５－３５,兵庫県尼崎市長洲本通１－１５－３５,,166923,28,28202,長洲本通１,2021/12/01,,,,,株式会社双葉商店,,0729-39-1129  ,羽曳野市伊賀５－１２－１,大阪府羽曳野市伊賀５－１２－１,,161249,大阪府,羽曳野市,伊賀５,尼崎市指令(尼保生）第1-02233号,,食肉販売業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,I,58,583,,双葉商店06-4868-864816692328202,cc23443e-fccc-4055-a2ac-a159a091c610,株式会社双葉商店161249,07f8786e-3456-4570-bbd5-91540187a39c,585302d0-2922-4a18-970a-141c182a84dc,2021/12/01,双葉商店　,双葉商店,株式会社双葉商店
活力酒場　塚口　みやと水産  ,兵庫県,尼崎市塚口町１－１４－１１塚口サンルイスビル,尼崎市塚口町１－１４－１１,塚口サンルイスビル,06-6439-6413  ,株式会社ｉスピリッツ,尼崎市塚口本町１－２－３５カーサフェリーチェ５０３,尼崎市塚口本町１－２－３５,カーサフェリーチェ５０３,06-4981-8270  ,R03.12.01,尼崎市指令(尼保生）,第1-02255号,飲食店営業,,305,活力酒場　塚口　みやと水産  ,06,06-6439-6413,,,,兵庫県　尼崎市塚口町１－１４－１１,兵庫県尼崎市塚口町１－１４－１１,塚口サンルイスビル,166862,28,28202,塚口町１,2021/12/01,,,,,株式会社ｉスピリッツ,,06-4981-8270  ,尼崎市塚口本町１－２－３５,兵庫県尼崎市塚口本町１－２－３５,カーサフェリーチェ５０３,167093,兵庫県,尼崎市,塚口本町１,尼崎市指令(尼保生）第1-02255号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,活力酒場塚口みやと水産06-6439-641316686228202,d1462923-3290-4e99-bc9d-a7458b857613,株式会社ｉスピリッツ167093,a29e2c70-596d-48c1-87fc-854ceda040c3,ee871391-d9f0-4d60-ad06-115c4f640111,2021/12/01,活力酒場　塚口　みやと水産　,活力酒場塚口みやと水産,株式会社ｉスピリッツ
あまがさき阪神　さかな屋の寿司  阪神デイリーマート,兵庫県,尼崎市潮江１－３－１,尼崎市潮江１－３－１,,06-6498-9500  ,株式会社阪急阪神百貨店,大阪市北区角田町８－７,大阪市北区角田町８－７,,06-6361-1381  ,R03.12.01,尼崎市指令(尼保生）,第1-02259号,飲食店営業,,305,あまがさき阪神　さかな屋の寿司  阪神デイリーマート,06,06-6498-9500,,,,兵庫県　尼崎市潮江１－３－１,兵庫県尼崎市潮江１－３－１,,166802,28,28202,潮江１,2021/12/01,,,,,株式会社阪急阪神百貨店,,06-6361-1381  ,大阪市北区角田町８－７,大阪府大阪市北区角田町８－７,,155834,大阪府,大阪市北区,角田町,尼崎市指令(尼保生）第1-02259号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,あまがさき阪神さかな屋の寿司阪神デイリマト06-6498-950016680228202,a6fc764b-7d35-4242-98e7-19adec2a65d0,株式会社阪急阪神百貨店155834,a73fd333-c7a5-4e62-a414-08a869d51ed9,e8c884bb-eff6-48a6-bee8-9e89c55d0898,2021/12/01,あまがさき阪神　さかな屋の寿司　阪神デイリーマート,あまがさき阪神さかな屋の寿司阪神デイリマト,株式会社阪急阪神百貨店
あまがさき阪神　セントラル厨房２  ,兵庫県,尼崎市潮江１－３－１,尼崎市潮江１－３－１,,06-6498-9500  ,株式会社阪急阪神百貨店,大阪市北区角田町８－７,大阪市北区角田町８－７,,06-6361-1381  ,R03.12.01,尼崎市指令(尼保生）,第1-02275号,飲食店営業,,305,あまがさき阪神　セントラル厨房２  ,06,06-6498-9500,,,,兵庫県　尼崎市潮江１－３－１,兵庫県尼崎市潮江１－３－１,,166802,28,28202,潮江１,2021/12/01,,,,,株式会社阪急阪神百貨店,,06-6361-1381  ,大阪市北区角田町８－７,大阪府大阪市北区角田町８－７,,155834,大阪府,大阪市北区,角田町,尼崎市指令(尼保生）第1-02275号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,あまがさき阪神セントラル厨房２06-6498-950016680228202,72afd681-9114-41f0-a043-361411e8ae49,株式会社阪急阪神百貨店155834,a73fd333-c7a5-4e62-a414-08a869d51ed9,dbe49e1e-2bfb-44a0-abfe-feb886065704,2021/12/01,あまがさき阪神　セントラル厨房２　,あまがさき阪神セントラル厨房２,株式会社阪急阪神百貨店
あまがさき阪神　イートイン催事  ,兵庫県,尼崎市潮江１－３－１,尼崎市潮江１－３－１,,06-6498-9500  ,株式会社阪急阪神百貨店,大阪市北区角田町８－７,大阪市北区角田町８－７,,06-6361-1381  ,R03.12.01,尼崎市指令(尼保生）,第1-02272号,飲食店営業,,305,あまがさき阪神　イートイン催事  ,06,06-6498-9500,,,,兵庫県　尼崎市潮江１－３－１,兵庫県尼崎市潮江１－３－１,,166802,28,28202,潮江１,2021/12/01,,,,,株式会社阪急阪神百貨店,,06-6361-1381  ,大阪市北区角田町８－７,大阪府大阪市北区角田町８－７,,155834,大阪府,大阪市北区,角田町,尼崎市指令(尼保生）第1-02272号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,あまがさき阪神イトイン催事06-6498-950016680228202,ec665a23-4316-4811-adc2-3a90dab2f3d8,株式会社阪急阪神百貨店155834,a73fd333-c7a5-4e62-a414-08a869d51ed9,b7e03ff0-2174-4df5-89d1-37e44f1fe81a,2021/12/01,あまがさき阪神　イートイン催事　,あまがさき阪神イトイン催事,株式会社阪急阪神百貨店
あまがさき阪神　１階催事場  ,兵庫県,尼崎市潮江１－３－１,尼崎市潮江１－３－１,,06-6498-9500  ,株式会社阪急阪神百貨店,大阪市北区角田町８－７,大阪市北区角田町８－７,,06-6361-1381  ,R03.12.01,尼崎市指令(尼保生）,第1-02271号,飲食店営業,,305,あまがさき阪神　１階催事場  ,06,06-6498-9500,,,,兵庫県　尼崎市潮江１－３－１,兵庫県尼崎市潮江１－３－１,,166802,28,28202,潮江１,2021/12/01,,,,,株式会社阪急阪神百貨店,,06-6361-1381  ,大阪市北区角田町８－７,大阪府大阪市北区角田町８－７,,155834,大阪府,大阪市北区,角田町,尼崎市指令(尼保生）第1-02271号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,あまがさき阪神１階催事場06-6498-950016680228202,1ea9eaaa-b6d6-49b9-a7e6-eb977fcc309f,株式会社阪急阪神百貨店155834,a73fd333-c7a5-4e62-a414-08a869d51ed9,a45990e5-f48b-4c7d-8d88-d6e0a34d3354,2021/12/01,あまがさき阪神　１階催事場　,あまがさき阪神１階催事場,株式会社阪急阪神百貨店
あまがさき阪神　阪急ベーカリーショップ  ,兵庫県,尼崎市潮江１－３－１,尼崎市潮江１－３－１,,06-6498-9500  ,株式会社阪急阪神百貨店,大阪市北区角田町８－７,大阪市北区角田町８－７,,06-6361-1381  ,R03.12.01,尼崎市指令(尼保生）,第1-02265号,菓子製造業,,305,あまがさき阪神　阪急ベーカリーショップ  ,06,06-6498-9500,,,,兵庫県　尼崎市潮江１－３－１,兵庫県尼崎市潮江１－３－１,,166802,28,28202,潮江１,2021/12/01,,,,,株式会社阪急阪神百貨店,,06-6361-1381  ,大阪市北区角田町８－７,大阪府大阪市北区角田町８－７,,155834,大阪府,大阪市北区,角田町,尼崎市指令(尼保生）第1-02265号,,菓子製造業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,E,9,,,あまがさき阪神阪急ベカリショップ06-6498-950016680228202,fa536765-fbd1-45de-8c3d-d91802084342,株式会社阪急阪神百貨店155834,a73fd333-c7a5-4e62-a414-08a869d51ed9,a771f81f-7f75-4b30-977f-e2f22b689070,2021/12/01,あまがさき阪神　阪急ベーカリーショップ　,あまがさき阪神阪急ベカリショップ,株式会社阪急阪神百貨店
あまがさき阪神　鮮魚　阪神デイリーマート  ,兵庫県,尼崎市潮江１－３－１,尼崎市潮江１－３－１,,06-6498-9500  ,株式会社阪急阪神百貨店,大阪市北区角田町８－７,大阪市北区角田町８－７,,06-6361-1381  ,R03.12.01,尼崎市指令(尼保生）,第1-02260号,魚介類販売業,,305,あまがさき阪神　鮮魚　阪神デイリーマート  ,06,06-6498-9500,,,,兵庫県　尼崎市潮江１－３－１,兵庫県尼崎市潮江１－３－１,,166802,28,28202,潮江１,2021/12/01,,,,,株式会社阪急阪神百貨店,,06-6361-1381  ,大阪市北区角田町８－７,大阪府大阪市北区角田町８－７,,155834,大阪府,大阪市北区,角田町,尼崎市指令(尼保生）第1-02260号,,魚介類販売業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,I,58,,,あまがさき阪神鮮魚阪神デイリマト06-6498-950016680228202,29feb493-87e8-4e59-98b4-deb6809bfe01,株式会社阪急阪神百貨店155834,a73fd333-c7a5-4e62-a414-08a869d51ed9,b3f2886f-1a77-4e19-9404-2c2eb1fdf586,2021/12/01,あまがさき阪神　鮮魚　阪神デイリーマート　,あまがさき阪神鮮魚阪神デイリマト,株式会社阪急阪神百貨店
あまがさき阪神　鮮魚厨房内  阪神デイリーマート,兵庫県,尼崎市潮江１－３－１,尼崎市潮江１－３－１,,06-6498-9500  ,株式会社阪急阪神百貨店,大阪市北区角田町８－７,大阪市北区角田町８－７,,06-6361-1381  ,R03.12.01,尼崎市指令(尼保生）,第1-02257号,飲食店営業,,305,あまがさき阪神　鮮魚厨房内  阪神デイリーマート,06,06-6498-9500,,,,兵庫県　尼崎市潮江１－３－１,兵庫県尼崎市潮江１－３－１,,166802,28,28202,潮江１,2021/12/01,,,,,株式会社阪急阪神百貨店,,06-6361-1381  ,大阪市北区角田町８－７,大阪府大阪市北区角田町８－７,,155834,大阪府,大阪市北区,角田町,尼崎市指令(尼保生）第1-02257号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,あまがさき阪神鮮魚厨房内阪神デイリマト06-6498-950016680228202,8988b64e-f781-4e4e-9812-a0e054d4e138,株式会社阪急阪神百貨店155834,a73fd333-c7a5-4e62-a414-08a869d51ed9,8ff4d376-b3c6-46ac-a106-f0f6758ff8fb,2021/12/01,あまがさき阪神　鮮魚厨房内　阪神デイリーマート,あまがさき阪神鮮魚厨房内阪神デイリマト,株式会社阪急阪神百貨店
あまがさき阪神　たごさく  ,兵庫県,尼崎市潮江１－３－１,尼崎市潮江１－３－１,,06-6498-9500  ,株式会社阪急阪神百貨店,大阪市北区角田町８－７,大阪市北区角田町８－７,,06-6361-1381  ,R03.12.01,尼崎市指令(尼保生）,第1-02268号,飲食店営業,,305,あまがさき阪神　たごさく  ,06,06-6498-9500,,,,兵庫県　尼崎市潮江１－３－１,兵庫県尼崎市潮江１－３－１,,166802,28,28202,潮江１,2021/12/01,,,,,株式会社阪急阪神百貨店,,06-6361-1381  ,大阪市北区角田町８－７,大阪府大阪市北区角田町８－７,,155834,大阪府,大阪市北区,角田町,尼崎市指令(尼保生）第1-02268号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,あまがさき阪神たごさく06-6498-950016680228202,7eb6dcfd-e8a5-47be-88fa-97cf7e6b3556,株式会社阪急阪神百貨店155834,a73fd333-c7a5-4e62-a414-08a869d51ed9,921d5398-2e64-4c5d-9cfa-9a78e63e2e0f,2021/12/01,あまがさき阪神　たごさく　,あまがさき阪神たごさく,株式会社阪急阪神百貨店
あまがさき阪神　御座候  ,兵庫県,尼崎市潮江１－３－１,尼崎市潮江１－３－１,,06-6498-9500  ,株式会社阪急阪神百貨店,大阪市北区角田町８－７,大阪市北区角田町８－７,,06-6361-1381  ,R03.12.01,尼崎市指令(尼保生）,第1-02264号,菓子製造業,,305,あまがさき阪神　御座候  ,06,06-6498-9500,,,,兵庫県　尼崎市潮江１－３－１,兵庫県尼崎市潮江１－３－１,,166802,28,28202,潮江１,2021/12/01,,,,,株式会社阪急阪神百貨店,,06-6361-1381  ,大阪市北区角田町８－７,大阪府大阪市北区角田町８－７,,155834,大阪府,大阪市北区,角田町,尼崎市指令(尼保生）第1-02264号,,菓子製造業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,E,9,,,あまがさき阪神御座候06-6498-950016680228202,9da50121-0e77-48c3-b6d4-e6b47b773786,株式会社阪急阪神百貨店155834,a73fd333-c7a5-4e62-a414-08a869d51ed9,317573c1-8d99-4d7b-8913-fcb01598c7b6,2021/12/01,あまがさき阪神　御座候　,あまがさき阪神御座候,株式会社阪急阪神百貨店
