https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,n処理終了,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所2,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,許可年月日,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号,,営業所所在地,営業所方書,営業所ＴＥＬ１,業種印刷名称,営業者名,営業者ＴＥＬ１情報公開用,初回許可日,許可決定日,申請区分,許可番号印刷用,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
Ｂａｒ　Ｌｏｕｎｇｅ　Ｋ,港区,六本木四丁目６番６号,小高ビル２階,03-6434-7561,飲食店営業,株式会社あさなぎコンサルティング,,2021年12月21日,2021年12月21日,新規,3港み生食営第2838号,,182,Ｂａｒ　Ｌｏｕｎｇｅ　Ｋ,03,03-6434-7561,,,,港区　六本木四丁目６番６号,東京都港区六本木４丁目６番６号,小高ビル２階,73157,13,13103,六本木４,,2021/12/21,2021/12/21,,,株式会社あさなぎコンサルティング,,,,,,,,,,3港み生食営第2838号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ＢａｒＬｏｕｎｇｅＫ03-6434-75617315713103,06aa9f63-0858-4c8d-a18f-4b0badbf47de,株式会社あさなぎコンサルティング,291db44e-2bef-4c5b-a908-54f0e3a05d68,86c7cf6a-7a79-4f0c-93b9-532d9b06b01f,2021/12/21,Ｂａｒ　Ｌｏｕｎｇｅ　Ｋ,ＢａｒＬｏｕｎｇｅＫ,株式会社あさなぎコンサルティング
寿司割烹心花,港区,六本木四丁目６番７号,六本木四丁目ビル２０１,03-3401-0727,飲食店営業,株式会社Ｙ．Ｓ．セレクト,03-3401-0727,2021年12月24日,2021年12月24日,新規,3港み生食営第2889号,,182,寿司割烹心花,03,03-3401-0727,,,,港区　六本木四丁目６番７号,東京都港区六本木４丁目６番７号,六本木四丁目ビル２０１,73157,13,13103,六本木４,,2021/12/24,2021/12/24,,,株式会社Ｙ．Ｓ．セレクト,,03-3401-0727,,,,,,,,3港み生食営第2889号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,寿司割烹心花03-3401-07277315713103,167d3f83-621d-42b3-bb17-b26ab2fc2407,株式会社Ｙ．Ｓ．セレクト,186792ba-b8e2-459a-832c-a947b22e92b2,566bbdec-7fda-4e38-a9d0-8adaa8e1610e,2021/12/24,寿司割烹心花,寿司割烹心花,株式会社Ｙ．Ｓ．セレクト
アサドール・エル・シエロ,港区,六本木四丁目８番５号,和幸ビル地下１階,03-6447-4552,飲食店営業,株式会社福島屋,03-6805-1904,2021年12月27日,2021年12月27日,新規,3港み生食営第2919号,,182,アサドール・エル・シエロ,03,03-6447-4552,,,,港区　六本木四丁目８番５号,東京都港区六本木４丁目８番５号,和幸ビル地下１階,73157,13,13103,六本木４,,2021/12/27,2021/12/27,,,株式会社福島屋,,03-6805-1904,,,,,,,,3港み生食営第2919号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,アサドルエルシエロ03-6447-45527315713103,ed2ee28a-c575-41e2-bfd2-e80d9bd886c4,株式会社福島屋,38d3b6e9-21bc-47ab-a80d-2481f3594bdf,45b3e825-305a-4337-9bb7-847fb986fd67,2021/12/27,アサドール・エル・シエロ,アサドルエルシエロ,株式会社福島屋
ＣＢＤ　ＮＡＴＩＯＮ,港区,六本木四丁目９番９号,六本木タカラビル１階,03-6770-1839,飲食店営業,株式会社ＣＢＤ　ＮＡＴＩＯＮ,03-6770-1839,2021年12月21日,2021年12月21日,新規,3港み生食営第2530号,,182,ＣＢＤ　ＮＡＴＩＯＮ,03,03-6770-1839,,,,港区　六本木四丁目９番９号,東京都港区六本木４丁目９番９号,六本木タカラビル１階,73157,13,13103,六本木４,,2021/12/21,2021/12/21,,,株式会社ＣＢＤ　ＮＡＴＩＯＮ,,03-6770-1839,,,,,,,,3港み生食営第2530号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ＣＢＤＮＡＴＩＯＮ03-6770-18397315713103,ebae27fe-4012-423d-972e-ac1c38e2c1cd,株式会社ＣＢＤ　ＮＡＴＩＯＮ,052ad1d1-d62a-485c-a641-d716ff7d5346,0a714b05-28ef-4d72-9754-5ec821fe50c7,2021/12/21,ＣＢＤ　ＮＡＴＩＯＮ,ＣＢＤＮＡＴＩＯＮ,株式会社ＣＢＤ　ＮＡＴＩＯＮ
Ｎｉｋｕａｚａｂｕ　六本木店,港区,六本木四丁目１０番７号,六本木エルビル２階,03-5411-2929,飲食店営業,株式会社カワイハイ,03-3499-8689,2021年12月21日,2021年12月21日,新規,3港み生食営第2870号,,182,Ｎｉｋｕａｚａｂｕ　六本木店,03,03-5411-2929,,,,港区　六本木四丁目１０番７号,東京都港区六本木４丁目１０番７号,六本木エルビル２階,73157,13,13103,六本木４,,2021/12/21,2021/12/21,,,株式会社カワイハイ,,03-3499-8689,,,,,,,,3港み生食営第2870号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,Ｎｉｋｕａｚａｂｕ六本木店03-5411-29297315713103,9af51ada-5057-45e2-96eb-d1d6562a5c4a,株式会社カワイハイ,b030b3d1-8790-4fdb-a9d2-cc90573869a3,a5b9ed77-d0b2-4e1f-823e-7183e2a9ce1e,2021/12/21,Ｎｉｋｕａｚａｂｕ　六本木店,Ｎｉｋｕａｚａｂｕ六本木店,株式会社カワイハイ
ＶＩＬＬＡ,港区,六本木四丁目１１番１１号,六本木ＧＭビル７階,03-6432-9035,飲食店営業,株式会社ｌｕｃｉｌｌ,,2021年12月13日,2021年12月13日,新規,3港み生食営第2782号,,182,ＶＩＬＬＡ,03,03-6432-9035,,,,港区　六本木四丁目１１番１１号,東京都港区六本木４丁目１１番１１号,六本木ＧＭビル７階,73157,13,13103,六本木４,,2021/12/13,2021/12/13,,,株式会社ｌｕｃｉｌｌ,,,,,,,,,,3港み生食営第2782号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ＶＩＬＬＡ03-6432-90357315713103,f3ee979a-1f6f-4b5f-805a-b520b92b3826,株式会社ｌｕｃｉｌｌ,5248dce4-2d60-4fa4-9557-54e903f7f381,221b1c2d-0834-4cad-a3d7-5c0e8be3904f,2021/12/13,ＶＩＬＬＡ,ＶＩＬＬＡ,株式会社ｌｕｃｉｌｌ
ＡＣＥＲＯ　ＬＯＵＮＧＥ,港区,六本木四丁目１１番１１号,六本木ＧＭビル６階,03-6447-0363,飲食店営業,株式会社ＰＲＯＧＲＥＳＳ,,2021年12月13日,2021年12月13日,新規,3港み生食営第2783号,,182,ＡＣＥＲＯ　ＬＯＵＮＧＥ,03,03-6447-0363,,,,港区　六本木四丁目１１番１１号,東京都港区六本木４丁目１１番１１号,六本木ＧＭビル６階,73157,13,13103,六本木４,,2021/12/13,2021/12/13,,,株式会社ＰＲＯＧＲＥＳＳ,,,,,,,,,,3港み生食営第2783号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ＡＣＥＲＯＬＯＵＮＧＥ03-6447-03637315713103,269e2085-951a-462e-842e-2e24da1b6736,株式会社ＰＲＯＧＲＥＳＳ,88b9bf47-d4ba-4b0b-9dc9-9a1f1f162902,ceaac5c6-ef5b-4fc9-bbdb-9bd44b8541b5,2021/12/13,ＡＣＥＲＯ　ＬＯＵＮＧＥ,ＡＣＥＲＯＬＯＵＮＧＥ,株式会社ＰＲＯＧＲＥＳＳ
Ｂａｒ　Ｖ,港区,六本木四丁目１２番１２号,穂高ビル２階,03-6455-5315,飲食店営業,株式会社ＶＡＬＵＥ　ＣＲＥＡＴＥ,03-6455-4774,2021年12月13日,2021年12月13日,新規,3港み生食営第2645号,,182,Ｂａｒ　Ｖ,03,03-6455-5315,,,,港区　六本木四丁目１２番１２号,東京都港区六本木４丁目１２番１２号,穂高ビル２階,73157,13,13103,六本木４,,2021/12/13,2021/12/13,,,株式会社ＶＡＬＵＥ　ＣＲＥＡＴＥ,,03-6455-4774,,,,,,,,3港み生食営第2645号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ＢａｒＶ03-6455-53157315713103,7a32f6be-c4db-4e3d-9254-095cb0a8c562,株式会社ＶＡＬＵＥ　ＣＲＥＡＴＥ,8ac938d8-1710-47a1-b3fb-d2517a44a6d4,2a5e4c84-ebb3-4485-ad10-88907fb55149,2021/12/13,Ｂａｒ　Ｖ,ＢａｒＶ,株式会社ＶＡＬＵＥ　ＣＲＥＡＴＥ
Ｕ６,港区,六本木五丁目５番１号,ミニヨンビル１階・２階,,飲食店営業,株式会社ＲＩＣ,,2021年12月23日,2021年12月23日,新規,3港み生食営第2923号,,182,Ｕ６,03,,,,,港区　六本木五丁目５番１号,東京都港区六本木５丁目５番１号,ミニヨンビル１階・２階,73158,13,13103,六本木５,,2021/12/23,2021/12/23,,,株式会社ＲＩＣ,,,,,,,,,,3港み生食営第2923号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,Ｕ６7315813103,f86f40eb-5054-4b99-aa24-a67f2a3464e9,株式会社ＲＩＣ,31ba4d47-9f00-440d-9c5d-888926be842f,ed5f44bf-7ae5-4582-a9a9-80566cec7079,2021/12/23,Ｕ６,Ｕ６,株式会社ＲＩＣ
粋狼,港区,六本木五丁目８番３号,中野ビル３階,,飲食店営業,合同会社粋蓮,,2021年12月2日,2021年12月2日,新規,3港み生食営第2548号,,182,粋狼,03,,,,,港区　六本木五丁目８番３号,東京都港区六本木５丁目８番３号,中野ビル３階,73158,13,13103,六本木５,,2021/12/02,2021/12/02,,,合同会社粋蓮,,,,,,,,,,3港み生食営第2548号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,粋狼7315813103,769eec7f-9c7b-428e-a0ea-57df551e14ff,合同会社粋蓮,6d8af6a0-ce6c-42b9-aac3-8a1c028c998d,cbac4e51-8b51-419c-8808-ef2fa04e3f2c,2021/12/02,粋狼,粋狼,合同会社粋蓮
ＪＡＭ,港区,六本木五丁目９番１４号,第７ヴィレッジビル地下１階,03-6455-5420,飲食店営業,ＹＴ株式会社,,2021年12月10日,2021年12月10日,新規,3港み生食営第2500号,,182,ＪＡＭ,03,03-6455-5420,,,,港区　六本木五丁目９番１４号,東京都港区六本木５丁目９番１４号,第７ヴィレッジビル地下１階,73158,13,13103,六本木５,,2021/12/10,2021/12/10,,,ＹＴ株式会社,,,,,,,,,,3港み生食営第2500号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ＪＡＭ03-6455-54207315813103,52804b18-1662-4e9a-ac8a-0e8a0605376a,ＹＴ株式会社,2e636e6c-8c8d-4caa-86ed-ea41bc433e1c,143460a2-dee6-4a03-acd5-659f8c41482d,2021/12/10,ＪＡＭ,ＪＡＭ,ＹＴ株式会社
ｃｌｏｕｄ,港区,六本木五丁目１６番５号,インペリアル六本木１号館　１階部分　Ｓ１０３Ｃ号室,03-6426-5977,飲食店営業,株式会社ｓｐａｒｋ,,2021年12月24日,2021年12月24日,新規,3港み生食営第2941号,,182,ｃｌｏｕｄ,03,03-6426-5977,,,,港区　六本木五丁目１６番５号,東京都港区六本木５丁目１６番５号,インペリアル六本木１号館　１階部分　Ｓ１０３Ｃ号室,73158,13,13103,六本木５,,2021/12/24,2021/12/24,,,株式会社ｓｐａｒｋ,,,,,,,,,,3港み生食営第2941号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ｃｌｏｕｄ03-6426-59777315813103,3b8da89e-4f05-48d2-bbb4-d50ad1508fef,株式会社ｓｐａｒｋ,4652232a-583d-47db-a0c1-a6d1d370caf4,069f1f67-6c71-4963-9fdb-809e29d5a2f3,2021/12/24,ｃｌｏｕｄ,ｃｌｏｕｄ,株式会社ｓｐａｒｋ
ＵＰｓ,港区,六本木五丁目１８番２０号,六本木ファイブビル地下１階Ｂ１０２号室,03-6161-6095,飲食店営業,株式会社ライトマップ,03-5544-8553,2021年12月14日,2021年12月14日,新規,3港み生食営第2627号,,182,ＵＰｓ,03,03-6161-6095,,,,港区　六本木五丁目１８番２０号,東京都港区六本木５丁目１８番２０号,六本木ファイブビル地下１階Ｂ１０２号室,73158,13,13103,六本木５,,2021/12/14,2021/12/14,,,株式会社ライトマップ,,03-5544-8553,,,,,,,,3港み生食営第2627号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ＵＰｓ03-6161-60957315813103,be300553-8f28-43d4-bd0d-ae0e448fe620,株式会社ライトマップ,f07d250c-a600-41c3-ab4e-ebaff82344ed,47f7c9d4-787f-4b62-bd59-c1a38b35fd8d,2021/12/14,ＵＰｓ,ＵＰｓ,株式会社ライトマップ
肉割烹　きらく　８,港区,六本木五丁目１８番２０号,六本木ファイブビル２Ｆ,03-6441-0020,飲食店営業,株式会社Ｙ＆Ｋ,03-6435-5959,2021年12月22日,2021年12月22日,新規,3港み生食営第2692号,,182,肉割烹　きらく　８,03,03-6441-0020,,,,港区　六本木五丁目１８番２０号,東京都港区六本木５丁目１８番２０号,六本木ファイブビル２Ｆ,73158,13,13103,六本木５,,2021/12/22,2021/12/22,,,株式会社Ｙ＆Ｋ,,03-6435-5959,,,,,,,,3港み生食営第2692号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,肉割烹きらく８03-6441-00207315813103,2a486eeb-3c61-4e72-a18f-9fd70ee86aed,株式会社Ｙ＆Ｋ,3a7b2bfc-9128-4e53-84de-d5fdd1ba5f1e,2120d549-c3aa-4fe2-a559-41b427e722a5,2021/12/22,肉割烹　きらく　８,肉割烹きらく８,株式会社Ｙ＆Ｋ
千串屋　はなれ,港区,六本木六丁目７番７号,ラ・レンヌ六本木ビル２階,03-6459-2030,飲食店営業,株式会社タカダコーポレーション,03-6459-2030,2021年12月20日,2021年12月20日,新規,3港み生食営第2908号,,182,千串屋　はなれ,03,03-6459-2030,,,,港区　六本木六丁目７番７号,東京都港区六本木６丁目７番７号,ラ・レンヌ六本木ビル２階,73159,13,13103,六本木６,,2021/12/20,2021/12/20,,,株式会社タカダコーポレーション,,03-6459-2030,,,,,,,,3港み生食営第2908号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,千串屋はなれ03-6459-20307315913103,39b436f3-ef35-4fbe-b011-216025bea424,株式会社タカダコーポレーション,c6a0b6b8-91ad-494f-a090-d3c89f14c4b1,5324eab4-7f0d-4309-97a7-c682cc397775,2021/12/20,千串屋　はなれ,千串屋はなれ,株式会社タカダコーポレーション
バルバッコア　六本木ヒルズ店,港区,六本木六丁目１０番１号,六本木ヒルズ森タワー５階（Ｗ‐５‐１３‐③）,03-5413-3663,飲食店営業,株式会社ワンダーテーブル,03-3379-8050,2021年12月21日,2021年12月21日,新規,3港み生食営第2832号,,182,バルバッコア　六本木ヒルズ店,03,03-5413-3663,,,,港区　六本木六丁目１０番１号,東京都港区六本木６丁目１０番１号,六本木ヒルズ森タワー５階（Ｗ‐５‐１３‐③）,73159,13,13103,六本木６,,2021/12/21,2021/12/21,,,株式会社ワンダーテーブル,,03-3379-8050,,,,,,,,3港み生食営第2832号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,バルバッコア六本木ヒルズ店03-5413-36637315913103,18f73304-aad0-4612-91a8-90ddc19c3afa,株式会社ワンダーテーブル,5d497683-599b-4d79-9eb7-7f921c80fef3,ff8d81ca-6f73-454a-ab01-40fad787274d,2021/12/21,バルバッコア　六本木ヒルズ店,バルバッコア六本木ヒルズ店,株式会社ワンダーテーブル
筋肉食堂,港区,六本木七丁目８番５号,藤和六本木コープⅡ　１階,03-6434-0293,飲食店営業,ＴＡＮＰＡＣ株式会社,03-6434-0293,2021年12月22日,2021年12月22日,新規,3港み生食営第2867号,,182,筋肉食堂,03,03-6434-0293,,,,港区　六本木七丁目８番５号,東京都港区六本木７丁目８番５号,藤和六本木コープⅡ　１階,73160,13,13103,六本木７,,2021/12/22,2021/12/22,,,ＴＡＮＰＡＣ株式会社,,03-6434-0293,,,,,,,,3港み生食営第2867号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,筋肉食堂03-6434-02937316013103,ded1337f-86de-44af-9374-069a28b9264c,ＴＡＮＰＡＣ株式会社,90a06f24-4f60-4ead-85c4-8f67d4087296,f44657af-404c-4071-bc32-46626f08106c,2021/12/22,筋肉食堂,筋肉食堂,ＴＡＮＰＡＣ株式会社
『路地裏ひみつＫｉｔｃｈｅｎ』　ｂｙ　Ｎｏｚａ　Ｃａｚａ,港区,六本木七丁目１２番２０号,ライジングビル１Ｆ,03-6721-1103,飲食店営業,株式会社ＳＡＳＡ,03-6434-0859,2021年12月10日,2021年12月10日,新規,3港み生食営第2779号,,182,『路地裏ひみつＫｉｔｃｈｅｎ』　ｂｙ　Ｎｏｚａ　Ｃａｚａ,03,03-6721-1103,,,,港区　六本木七丁目１２番２０号,東京都港区六本木７丁目１２番２０号,ライジングビル１Ｆ,73160,13,13103,六本木７,,2021/12/10,2021/12/10,,,株式会社ＳＡＳＡ,,03-6434-0859,,,,,,,,3港み生食営第2779号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,路地裏ひみつＫｉｔｃｈｅｎｂｙＮｏｚａＣａｚａ03-6721-11037316013103,90207480-1aac-4700-b73c-a74aeff8cb45,株式会社ＳＡＳＡ,7597ec6e-dec5-4f6b-a6be-69b51d4d83e6,cec7e467-b7b2-40ff-9641-99e89cdc46f9,2021/12/10,『路地裏ひみつＫｉｔｃｈｅｎ』　ｂｙ　Ｎｏｚａ　Ｃａｚａ,路地裏ひみつＫｉｔｃｈｅｎｂｙＮｏｚａＣａｚａ,株式会社ＳＡＳＡ
ｍｙ　ｂａｒ,港区,六本木七丁目１４番１号,宝祥六本木ソシアルビルｂｙＣＯＡＳＴ２‐Ｍ階,03-3423-4491,飲食店営業,株式会社メディア,03-3479-0961,2021年12月13日,2021年12月13日,新規,3港み生食営第2739号,,182,ｍｙ　ｂａｒ,03,03-3423-4491,,,,港区　六本木七丁目１４番１号,東京都港区六本木７丁目１４番１号,宝祥六本木ソシアルビルｂｙＣＯＡＳＴ２‐Ｍ階,73160,13,13103,六本木７,,2021/12/13,2021/12/13,,,株式会社メディア,,03-3479-0961,,,,,,,,3港み生食営第2739号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ｍｙｂａｒ03-3423-44917316013103,c88c3c78-7974-41a2-abaf-7bdeda437549,株式会社メディア,b7a1cbdf-16f4-481a-b8e1-92b8baf4c4cc,f89f1487-0654-4ba8-bf63-3be2ed723747,2021/12/13,ｍｙ　ｂａｒ,ｍｙｂａｒ,株式会社メディア
Ｃｏｌｌｉｅｒ　ｄｅ　ｐｅｒｌｅ,港区,六本木七丁目１４番１号,東李閣ビル８階,03-5843-0218,飲食店営業,株式会社麻布社中,,2021年12月17日,2021年12月17日,新規,3港み生食営第2849号,,182,Ｃｏｌｌｉｅｒ　ｄｅ　ｐｅｒｌｅ,03,03-5843-0218,,,,港区　六本木七丁目１４番１号,東京都港区六本木７丁目１４番１号,東李閣ビル８階,73160,13,13103,六本木７,,2021/12/17,2021/12/17,,,株式会社麻布社中,,,,,,,,,,3港み生食営第2849号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,Ｃｏｌｌｉｅｒｄｅｐｅｒｌｅ03-5843-02187316013103,c0085a07-860c-43ff-830a-4156f7a0cb9b,株式会社麻布社中,616286d2-f90c-4c88-b53c-85d1ce473d34,62fbfc6b-8399-4e97-839e-75bf98be4d04,2021/12/17,Ｃｏｌｌｉｅｒ　ｄｅ　ｐｅｒｌｅ,Ｃｏｌｌｉｅｒｄｅｐｅｒｌｅ,株式会社麻布社中
ＨＯＮＭＵＲＡ　ＡＮ,港区,六本木七丁目１４番１８号,７＆７ビル１階,03-5772-6657,飲食店営業,株式会社ＨＯＮＭＵＲＡ　ＡＮ　ＴＯＫＹＯ,03-5772-6657,2021年12月10日,2021年12月10日,新規,3港み生食営第2721号,,182,ＨＯＮＭＵＲＡ　ＡＮ,03,03-5772-6657,,,,港区　六本木七丁目１４番１８号,東京都港区六本木７丁目１４番１８号,７＆７ビル１階,73160,13,13103,六本木７,,2021/12/10,2021/12/10,,,株式会社ＨＯＮＭＵＲＡ　ＡＮ　ＴＯＫＹＯ,,03-5772-6657,,,,,,,,3港み生食営第2721号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ＨＯＮＭＵＲＡＡＮ03-5772-66577316013103,cbce4059-bf2a-4f3b-b5a7-42c9cb2b0224,株式会社ＨＯＮＭＵＲＡ　ＡＮ　ＴＯＫＹＯ,96f775cb-45ea-46ef-ba9d-df08ffb2ab81,cc233e52-26fd-4a25-a983-b979e36ed963,2021/12/10,ＨＯＮＭＵＲＡ　ＡＮ,ＨＯＮＭＵＲＡＡＮ,株式会社ＨＯＮＭＵＲＡ　ＡＮ　ＴＯＫＹＯ
Ｒ３　ＣＬＵＢ　ＬＯＵＮＧＥ,港区,六本木七丁目１４番２３号,ラウンドクロス地下１階,03-6804-5865,飲食店営業,株式会社リロケーションハウス,03-5766-2300,2021年12月6日,2021年12月6日,新規,3港み生食営第2738号,,182,Ｒ３　ＣＬＵＢ　ＬＯＵＮＧＥ,03,03-6804-5865,,,,港区　六本木七丁目１４番２３号,東京都港区六本木７丁目１４番２３号,ラウンドクロス地下１階,73160,13,13103,六本木７,,2021/12/06,2021/12/06,,,株式会社リロケーションハウス,,03-5766-2300,,,,,,,,3港み生食営第2738号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,Ｒ３ＣＬＵＢＬＯＵＮＧＥ03-6804-58657316013103,ec2b4379-3180-4b29-ab0f-ba4ca1db75bf,株式会社リロケーションハウス,41a58e56-3c59-41ab-b967-658c148fad04,43dc6bf0-f186-40de-a367-170ac436a684,2021/12/06,Ｒ３　ＣＬＵＢ　ＬＯＵＮＧＥ,Ｒ３ＣＬＵＢＬＯＵＮＧＥ,株式会社リロケーションハウス
ＢＵＴＡＢＡＲＡ　あぐー豚しゃぶ専門店,港区,六本木七丁目１７番１９号,ＢＰＲスクエア六本木２階,03-5843-0229,飲食店営業,株式会社わんぺあ,,2021年11月24日,2021年11月24日,新規,3港み生食営第2579号,,182,ＢＵＴＡＢＡＲＡ　あぐー豚しゃぶ専門店,03,03-5843-0229,,,,港区　六本木七丁目１７番１９号,東京都港区六本木７丁目１７番１９号,ＢＰＲスクエア六本木２階,73160,13,13103,六本木７,,2021/11/24,2021/11/24,,,株式会社わんぺあ,,,,,,,,,,3港み生食営第2579号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ＢＵＴＡＢＡＲＡあぐ豚しゃぶ専門店03-5843-02297316013103,0b106452-6a45-4750-a1c8-3677c2f47c19,株式会社わんぺあ,e2ada313-a7a9-4690-9b40-9f7f8323d335,d25cf927-c0b7-4d73-adfd-15141c2a8da9,2021/11/24,ＢＵＴＡＢＡＲＡ　あぐー豚しゃぶ専門店,ＢＵＴＡＢＡＲＡあぐ豚しゃぶ専門店,株式会社わんぺあ
旧ヤム邸×タコムマサラ,港区,西新橋一丁目１番１号,日比谷フォートタワー１階　日比谷バル内テナントＣ,03-6268-8206,飲食店営業,植竹　大介,,2021年7月6日,2021年7月6日,新規,3港み生食営第1334号,,182,旧ヤム邸×タコムマサラ,03,03-6268-8206,,,,港区　西新橋一丁目１番１号,東京都港区西新橋１丁目１番１号,日比谷フォートタワー１階　日比谷バル内テナントＣ,73122,13,13103,西新橋１,,2021/07/06,2021/07/06,,,,植竹　大介,,,,,,,,,3港み生食営第1334号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,旧ヤム邸タコムマサラ03-6268-82067312213103,3b9f1815-0ec9-4de4-bd33-145415722c72,,personal,441a8f6c-308f-4386-b5d3-ee16e4ab956e,2021/07/06,旧ヤム邸×タコムマサラ,旧ヤム邸タコムマサラ,
Ｂａｒ　Ｌａｕｇｈ,港区,新橋三丁目１９番４号,新共ビル１号館３階,03-6459-0927,飲食店営業,牧内　恵美,,2015年7月15日,2015年7月15日,新規,27港み生食営第1162号,,182,Ｂａｒ　Ｌａｕｇｈ,03,03-6459-0927,,,,港区　新橋三丁目１９番４号,東京都港区新橋３丁目１９番４号,新共ビル１号館３階,73105,13,13103,新橋３,,2015/07/15,2015/07/15,,,,牧内　恵美,,,,,,,,,27港み生食営第1162号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ＢａｒＬａｕｇｈ03-6459-09277310513103,7975f805-6c41-4d14-b027-8ba113502241,,personal,f7c280c3-3b33-49b4-a20a-dd887eba6a51,2015/07/15,Ｂａｒ　Ｌａｕｇｈ,ＢａｒＬａｕｇｈ,
